"pointid","xcoord","ycoord"
102,837992.823643874,2453164.95561849
103,840353.698555209,2453358.20498668
104,841297.828199778,2453833.0650085
105,850477.777788498,2457760.47566194
106,823649.379005212,2450296.58849071
107,824657.059839319,2449105.65318677
108,823109.349694114,2443702.67707625
109,823264.405568589,2444219.22159121
110,822768.996850148,2443457.88801655
111,822700.199261472,2443247.97575111
112,826830.916481439,2446415.69812961
113,826503.633735321,2445888.04091648
114,825412.913214885,2443739.74877015
115,853610.474072769,2458899.85997437
116,852257.737395465,2458103.66140544
117,850656.407859091,2457050.70237879
118,832177.856601182,2466537.88011693
119,830066.049948845,2472065.77400688
120,817179.980570257,2461645.94992228
121,815522.463043131,2460872.73994957
122,814980.027032431,2461957.99207091
123,816277.839518774,2459380.54169523
124,815994.358865444,2458197.00699008
125,819268.213426474,2460630.12368952
126,817933.177046258,2453028.41344097
127,816907.76791507,2452936.5197561
128,818784.048006181,2451920.39012338
129,824813.160813618,2450009.01853805
130,827246.092013091,2444696.1269127
131,828306.950438444,2445370.64610166
132,829823.960788701,2449449.10113023
133,830880.759814721,2449147.72667984
134,832066.613419496,2448673.78665787
135,834478.057722505,2448665.53635922
136,834920.310949698,2441711.823904
137,831648.611488312,2444701.06601189
138,833903.064617164,2445021.16375919
139,834935.256747238,2443530.43260461
140,834587.928504415,2446825.26286219
141,834899.074753191,2444987.0671648
142,832698.229215514,2449590.36440697
143,836846.350332618,2451493.8480936
144,839288.437330581,2450758.52221466
145,840225.053876385,2449231.51986605
146,840169.170985587,2452502.26042759
147,847479.24598214,2450503.7559566
148,845328.313836247,2456380.6525891
149,848646.221790023,2454930.96422776
150,846968.248566266,2455063.19750599
151,854370.452347655,2461500.97464615
152,857584.633718509,2465621.38586781
153,857829.146678254,2465470.12339271
154,857837.230076924,2464733.16741404
155,857861.85327287,2465074.1866579
156,858262.201706961,2464477.0925562
157,858323.628896851,2464520.01434913
158,858568.146956597,2464635.20783016
159,859299.432736203,2464378.42397244
160,830703.45604391,2450906.02159038
161,829156.251098625,2451918.55192369
162,827710.656236611,2452288.09596285
163,823325.297458563,2453675.39873446
164,817561.579207435,2456535.02406368
165,819210.900835909,2457125.51316647
166,819185.769640047,2461033.39612313
167,817572.586105622,2451362.40391524
168,815377.658266969,2452679.10909848
169,813930.63470519,2452943.02895503
170,824443.662374448,2448026.94326436
171,859939.047030907,2469041.04260484
172,859623.935182784,2468051.8117677
173,857885.029969055,2465294.63542161
174,857892.27826786,2465098.18665395
175,851978.845641378,2458176.63289343
176,860962.286962453,2465899.0508221
177,819222.812933948,2461315.49907668
178,819285.815023579,2457248.50464622
179,830142.815136209,2452691.50309644
180,828854.81344825,2451963.49841629
