rid,binaryID
71,10
72,10101
73,101011
74,101011111
75,1010111111
76,10101111111
77,101011111110
78,1010111111100
79,10101111111000
80,101011111110000
81,1010111111100000
82,10101111111000000
83,101011111110000001011
84,1010111111100000010111
85,10101111111000000101110
86,101011111110000001011100
87,1010111111100000010111000
88,10101111111000000101110001
89,101011111110000001011100011
90,1010111111100000010111000110
91,101011111110000001011101
92,1010111111100000010111010
93,10101111111000000101110100
94,101011111110000001011101001
95,1010111111100000010111010011
96,10101111111000000101111
97,101011111110000001011110
98,1010111111100000010111100
99,10101111111000000101111001
100,1010111111100000010111011
101,10101111111001
102,101011111110010
103,101011111110010111
104,1010111111100101111
105,10101111111001011111
106,1010111111100001
107,10101111111000010
108,101011111110000100
109,1010111111100000010111011111
110,10101111111000000101110110
112,11
113,110
114,1101
115,111
116,101111
117,101011111111
118,1010111111110
119,1010111111111
120,101011111110011
121,101011111110000101
122,10101111111000011
123,10101111111000001
124,101011111110000010
125,1010111111100000100
126,10101111111000001000
127,1010111111100000111
128,101011111110000011
129,10101111111000001001
130,101011111110000010010
131,1010111111100000100111
132,101011111110000010011
133,1010111111100000101
134,101011111110000001011111
135,1010111111100000010111110
136,1010111111100000010111111
137,1010111111100000010111101
138,1010111111100000010111000111
139,1010111111100000010111001
140,10101111111000000101110010
141,10101111111000000101110011
142,10101111111000000101110101
143,10101111111000000101110100110
144,101011111110000001011101001101
145,1010111111100000010111010011011111
146,10101111111000000101110100110111111
147,101011111110000001011101001101111110
148,1010111111100000010111010011011111101
149,101011111110000001011101001101111111
150,10101111111000000111
151,101011111110001
152,1010111111101
153,101011101
154,10111
155,10101111111100
156,10101111111101
157,101011111111011
158,1010111111100101
159,101011111110000001011101001110
160,1010111111100000010111010011011
161,10101111111000000101110100110111
162,10101111111000000101110111
163,101011111110000001011101111
164,10101111111001011
165,10101111111000000101110100111
166,101011111110000001011101001111
167,101011111110000001011101001101111
168,101
169,1010
170,1011
171,1010111
172,10101110
173,10101111
174,10101111111000000101
175,1010111111100000010
176,1010111111100000011
177,101011111110000001
70,1
